year,hierarchy,metric,avg_weekly_value,avg_weekly_projected_value,projection_RMSE,avg_weekly_percent_err
2019,Ex Department 1,revenue,67943514.56488372,68344661.28240964,13382420.159924021,2.062439367460172
2019,Ex Department 1,traffic,23429046.20883721,22750713.303326663,5728405.946949826,3.170623799164728
2019,Ex Department 2,revenue,122185.36023255819,119682.9237736397,45852.6173661467,4.064961544678326
2019,Ex Department 2,traffic,44067.558139534885,44348.81896289286,19342.46170872719,4.5658272811391765
